School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Crooked River Elementary School – Prineville,Crooked River Elementary School,Crook County SD,High Desert ESD,,641 NE 1st St,Prineville,OR,97754,Crook,541-447-6488,K,5,Elementary,Public,Regular School,219,Principal,Cheri Rasmussen,cheri.rasmussen@crookcounty.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,547,603,312,51.7%,291,48.3%,6,1%,3,0.5%,,0%,4,0.7%,63,10.4%,499,82.8%,28,4.6%,88,112,90,107,99,107,,,,,,,,false,
Crosshill Christian School – Turner,Crosshill Christian School,,,,2707 Maranatha Ct SE,Turner,OR,97392,Marion,503-391-9082,PK,12,Other,Private,Regular School,,,,info@crosshillchristian.com,,,No,,,,,,,,,,,,No,,,,I'm not sure,Not sure at this point,NOT AT ALL FAMILIAR with Measure 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Crossler Middle School – Salem,Crossler Middle School,Salem-Keizer SD 24J,Willamette ESD,,1155 Davis Rd S,Salem,OR,97306,Marion,503-399-3444,6,8,Middle,Public,Regular School,1329,Principal,Kristine Walton,walton_kristine@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,728,762,386,50.7%,376,49.3%,9,1.2%,20,2.6%,14,1.8%,10,1.3%,111,14.6%,553,72.6%,45,5.9%,,,,,,,251,261,250,,,,,false,
CS Lewis Academy – Newberg,CS Lewis Academy,,,,PO Box 3250,Newberg,OR,97132,Yamhill,503-538-0114,K,12,Other,Private,Regular School,,,,mwenger@cslewisacademy.com,,,Yes,65,"6th grade, 7th grade, 8th grade, 9-12",Royal Ridges Retreat,6,5,Non-Profit Christian Camps and schools,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,Program provider staff,We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,15,,,,,,,VERY FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Culver Elementary School – Culver,Culver Elementary School,Culver SD 4,Jefferson ESD,,310 West E St,Culver,OR,97734,Jefferson,541-546-6861,K,5,Elementary,Public,Regular School,425,Principal,Stefanie Garber,sgarber@culver.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,304,312,152,48.7%,160,51.3%,4,1.3%,,0%,1,0.3%,2,0.6%,111,35.6%,186,59.6%,8,2.6%,44,56,49,51,56,56,,,,,,,,false,
Culver Middle School – Culver,Culver Middle School,Culver SD 4,Jefferson ESD,,218 West F St,Culver,OR,97734,Jefferson,541-546-3090,6,8,Middle,Public,Regular School,1295,Principal,Brad Kudlac,bkudlac@culver.k12.or.us,,,Yes,50,6th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"If the measure passed, when will we see funding support?",,166,163,91,55.8%,72,44.2%,4,2.5%,,0%,,0%,2,1.2%,43,26.4%,112,68.7%,2,1.2%,,,,,,,58,55,50,,,,,true,
Cummings Elementary School – Keizer,Cummings Elementary School,Salem-Keizer SD 24J,Willamette ESD,,613 Cummings Ln N,Keizer,OR,97303,Marion,503-399-3141,K,5,Elementary,Public,Regular School,735,Principal,Martina Mangan,mangan_martina@salkeiz.k12.or.us,,,Yes,,,Canyonview Camp,,,,,,,,,,,,,,,,,,,431,441,226,51.2%,215,48.8%,3,0.7%,1,0.2%,5,1.1%,6,1.4%,90,20.4%,305,69.2%,31,7%,69,63,82,73,76,78,,,,,,,,false,
Da Vinci Middle School – Portland,Da Vinci Middle School,Portland SD 1J,Multnomah ESD,,2508 NE Everett,Portland,OR,97232,Multnomah,503-916-5356,6,8,Middle,Public,Regular School,1363,Principal,Fred Locke,fwlocke@pps.net,,,Yes,149,,"Camp Angelos, Camp Howard, Camp Arrah Wanna, Camp Namanu",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,,,,,,,,,,,,,,458,460,156,33.9%,304,66.1%,3,0.7%,7,1.5%,,0%,15,3.3%,50,10.9%,338,73.5%,47,10.2%,,,,,,,155,153,152,,,,,true,
Dallas Community School – Dallas,Dallas Community School,Dallas SD 2,Willamette ESD,,788 SW Birch St,Dallas,OR,97338,Polk,503-420-4360,K,8,Other,Public,Charter,5298,,Dennis Schultz,dschultz@dallascommunityschool.org,,,No,,,,,,,,,,,,No,,,,SOMEWHAT interested,2017/2018 school year,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,124,156,80,51.3%,76,48.7%,4,2.6%,1,0.6%,2,1.3%,,0%,,0%,143,91.7%,6,3.8%,16,16,19,25,20,21,15,16,8,,,,,false,
Damascus Christian School – Damascus,Damascus Christian School,,,,14251 SE Rust Way,Damascus,OR,97089,Clackamas,503-658-4100,K,12,Other,Private,Regular School,,,,zach.davidson@damascuscc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Danebo Elementary School – Eugene,Danebo Elementary School,Bethel SD 52,Lane ESD,,1265 Candlelight Dr,Eugene,OR,97402,Lane,541-688-8735,K,5,Elementary,Public,Regular School,583,Principal,Mari Ford,mari.ford@bethel.k12.or.us,,,Yes,45,5th grade,Canby Grove,3,2,None,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, Assistance from another school in a neighboring District","State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors, Community volunteers; College volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,2,,,,,,,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,It is an amazing experience for our students. We partner with another school in our District and together take about 130 students. We are looking forward to the potential funding for future years instead of having to raise the funds on our own.,,295,303,165,54.5%,138,45.5%,1,0.3%,5,1.7%,2,0.7%,6,2%,109,36%,159,52.5%,21,6.9%,43,45,55,50,62,48,,,,,,,,true,
Davis Elementary School – Portland,Davis Elementary School,Reynolds SD 7,Multnomah ESD,,19501 NE Davis St,Portland,OR,97230,Multnomah,503-665-9193,K,5,Elementary,Public,Regular School,949,Principal,Ashley Furlong,AFurlong@rsd7.net,,,,,,,,,,,,,,,,,,,,,,,,,490,460,239,52%,221,48%,7,1.5%,39,8.5%,13,2.8%,48,10.4%,227,49.3%,96,20.9%,30,6.5%,75,72,69,95,79,70,,,,,,,,false,
Days Creek Charter School – Days Creek,Days Creek Charter School,Douglas County SD 15,Douglas ESD,,11381 Tiller Trail Hwy,Days Creek,OR,97429,Douglas,541-825-3296,K,12,Other,Public,Regular School,3348,Principal,Mark Angle,mark.angle@dayscreek.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,197,214,124,57.9%,90,42.1%,12,5.6%,3,1.4%,,0%,,0%,18,8.4%,160,74.8%,21,9.8%,13,12,11,13,14,15,16,16,15,17,22,22,28,false,
Dayton Grade School – Dayton,Dayton Grade School,Dayton SD 8,Willamette ESD,Dayton Junior High School – Dayton,801 Ferry Street,Dayton,OR,97114,Yamhill,503-864-2217,K,5,Elementary,Public,Regular School,1211,Principal,Stephanie Ewing,stephanie.ewing@dayton.k12.or.us,,,Yes,64,,Cedar Ridge,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,424,422,197,46.7%,225,53.3%,4,0.9%,1,0.2%,,0%,,0%,168,39.8%,237,56.2%,12,2.8%,72,65,77,73,70,65,,,,,,,,true,Dayton Junior High School – Dayton
Dayton Junior High School – Dayton,Dayton Junior High School,Dayton SD 8,Willamette ESD,Dayton Grade School – Dayton,801 Ferry St,Dayton,OR,97114,Yamhill,503-864-2246,6,8,Other,Public,Regular School,1291,Principal,Jami Fluke,jami.fluke@dayton.k12.or.us,,,No (sister school did),,,,,,,,,,,,,,,,,,,,,,213,228,114,50%,114,50%,4,1.8%,2,0.9%,,0%,2,0.9%,84,36.8%,131,57.5%,5,2.2%,,,,,,,87,63,78,,,,,false,Dayton Grade School – Dayton
Dayville School – Dayville,Dayville School,Dayville SD 16J,Grant ESD,,285 School House Rd,Dayville,OR,97825,Grant,541-987-2412,PK,12,Other,Public,Regular School,3353,Principal,Kathryn Hedrick,hedrickk@grantesd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,50,46,25,54.3%,21,45.7%,2,4.3%,,0%,,0%,,0%,,0%,44,95.7%,,0%,3,2,2,4,1,3,6,6,1,1,7,3,7,false,
Deep Creek K-8 School – Damascus,Deep Creek K-8 School,Gresham-Barlow SD 10J,,,14151 SE 242nd,Damascus,OR,97089,Multnomah,,K,8,Other,Public,Regular School,90,Principal,,walter@gresham.k12.or.us,,,Yes,60,6th grade,"Camp Howard, Camp Angelos, Camp Arrah Wanna, anna",3,2,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,30,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,153,434,240,55.3%,194,44.7%,6,1.4%,12,2.8%,1,0.2%,1,0.2%,26,6%,369,85%,19,4.4%,45,52,34,44,53,44,63,46,53,,,,,true,
Deer Creek Elementary School – Tigard,Deer Creek Elementary School,Tigard-Tualatin SD 23J,Northwest Regional ESD,,16155 SW 131st Ave,Tigard,OR,97224,Washington,503-431-4450,K,5,Elementary,Public,Regular School,1369,Principal,Tiffany Wiencken,twiencken@ttsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,600,621,319,51.4%,302,48.6%,2,0.3%,43,6.9%,12,1.9%,22,3.5%,161,25.9%,346,55.7%,35,5.6%,114,86,100,119,97,105,,,,,,,,false,
Delphian School – Sheridan,Delphian School,,,,20950 SW Rock Creek Rd,Sheridan,OR,97378,Yamhill,503-843-3521,K,12,Other,Private,Regular School,,,,info@delphian.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Desert View Elementary School – Hermiston,Desert View Elementary School,Hermiston SD 8,InterMountain ESD,,1225 SW 9th,Hermiston,OR,97838,Umatilla,541-667-6900,K,5,Elementary,Public,Regular School,3426,Principal,Michael Roberts,michael.roberts@hermiston.k12.or.us,,,Yes,150,5th grade,Camp Meadowood Springs,3,2,,,,,,,,,,,,,,,,,600,597,318,53.3%,279,46.7%,4,0.7%,2,0.3%,1,0.2%,6,1%,272,45.6%,301,50.4%,11,1.8%,97,99,97,105,108,91,,,,,,,,false,
Dexter McCarty Middle School – Gresham,Dexter McCarty Middle School,Gresham-Barlow SD 10J,Multnomah ESD,,1400 SE 5th St,Gresham,OR,97080,Multnomah,503-665-0148,6,8,Middle,Public,Regular School,932,Principal,John George,george10@gresham.k12.or.us,,,Yes,187,6th grade,"Camp Angelos, Camp Howard, Camp Namanu",3,2,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,15,,,,,,,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,no,,557,563,297,52.8%,266,47.2%,4,0.7%,14,2.5%,5,0.9%,18,3.2%,202,35.9%,283,50.3%,37,6.6%,,,,,,,182,178,203,,,,,true,
Dorena School – Dorena,Dorena School,South Lane SD 45J3,Lane ESD,,37141 Row River Rd,Dorena,OR,97434,Lane,541-946-1506,K,8,Other,Public,Regular School,574,Principal,Linda  Pabst,linda.pabst@slane.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,66,76,42,55.3%,34,44.7%,,0%,2,2.6%,,0%,,0%,8,10.5%,59,77.6%,7,9.2%,7,7,9,11,10,13,8,9,2,,,,,false,
Douglas Gardens Elementary School – Springfield,Douglas Gardens Elementary School,Springfield SD 19,Lane ESD,,3680 Jasper Rd,Springfield,OR,97478,Lane,541-744-6387,K,5,Elementary,Public,Regular School,545,Principal,Carla Smith,carla.smith@springfield.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,342,367,188,51.2%,179,48.8%,2,0.5%,1,0.3%,4,1.1%,2,0.5%,85,23.2%,251,68.4%,22,6%,62,54,65,60,65,61,,,,,,,,false,
Drewsey Elementary School – Drewsey,Drewsey Elementary School,Drewsey SD 13,Harney ESD,,78834 Drewsey Rd,Drewsey,OR,97904,Harney,541-493-2367,K,8,Elementary,Public,Regular School,350,Teacher,Jodi Miller,millerj@harneyesd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,7,9,6,66.7%,3,33.3%,,0%,,0%,,0%,,0%,1,11.1%,8,88.9%,,0%,2,1,,1,1,,3,,1,,,,,false,
Driftwood Elementary School – Port Orford,Driftwood Elementary School,Port Orford-Langlois SD 2CJ,South Coast ESD,,1202 Oregon St,Port Orford,OR,97465,Curry,541-332-2712,K,8,Elementary,Public,Regular School,228,Principal,Christine Nichols,cnichols@2cj.com,"Statia Ryder says: ""No schools currently participate with an Outdoor School Program.  They all partner with Curry Watersheds Education Program and participate with field trips and Adopt-a-Stream projects, but no overnight programs to my knowledge.""",,No,,,,,,,,,,,,,,,,,,,,,,132,144,76,52.8%,68,47.2%,,0%,,0%,,0%,1,0.7%,11,7.6%,123,85.4%,9,6.3%,20,24,15,14,17,17,5,20,12,,,,,false,
Dry Hollow Elementary School – The Dalles,Dry Hollow Elementary School,North Wasco County SD 21,Columbia Gorge ESD,,1314 E 19th St,The Dalles,OR,97058,Wasco,541-506-3370,K,5,Elementary,Public,Regular School,1098,Principal,Theresa Peters,peterst@nwasco.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,539,537,258,48%,279,52%,7,1.3%,7,1.3%,9,1.7%,5,0.9%,156,29.1%,314,58.5%,39,7.3%,81,97,72,105,82,100,,,,,,,,false,
Dufur School – Dufur,Dufur School,Dufur SD 29,Columbia Gorge ESD,,802 NE 5th St,Dufur,OR,97021,Wasco,541-467-2509,K,12,Other,Public,Regular School,3402,Principal,A Baptiste,lbaptiste@dufur.k12.or.us,,,No,,,,,,,,,,,,I'm not sure,,,,VERY interested,2017/2018 school year,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,We know Condon already has a program set up that is done in conjunction with other schools. It would be great if we could join forces as small schools and do a nice big program together.,,306,302,162,53.6%,140,46.4%,17,5.6%,1,0.3%,,0%,,0%,22,7.3%,242,80.1%,20,6.6%,20,20,25,18,23,18,27,28,29,22,30,17,25,false,
Dundee Elementary School – Dundee,Dundee Elementary School,Newberg SD 29J,Willamette ESD,,140 SW 5th,Dundee,OR,97115,Yamhill,503-554-4850,K,5,Elementary,Public,Regular School,1216,Principal,Reed Langdon,langdonr@newberg.k12.or.us,,,Yes,,,Twin Rocks Friends Conference,,,,,,,,,,,,,,,,,,,324,301,166,55.1%,135,44.9%,,0%,3,1%,2,0.7%,,0%,35,11.6%,250,83.1%,11,3.7%,43,51,55,49,57,46,,,,,,,,false,
Duniway Elementary School – Portland,Duniway Elementary School,Portland SD 1J,Multnomah ESD,,7700 SE Reed College Pl,Portland,OR,97202,Multnomah,503-916-6343,K,5,Elementary,Public,Regular School,844,Principal,Matt Goldstein,mgoldste@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,495,519,286,55.1%,233,44.9%,,0%,8,1.5%,,0%,5,1%,22,4.2%,437,84.2%,47,9.1%,93,72,103,87,75,89,,,,,,,,false,
Duniway Middle School – McMinnville,Duniway Middle School,McMinnville SD 40,Willamette ESD,,575 NW Michelbook Ln,McMinnville,OR,97128,Yamhill,503-565-4400,6,8,Middle,Public,Regular School,1315,Principal,Hilary  Brittan Lack,hbrittan@msd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,781,752,393,52.3%,359,47.7%,10,1.3%,8,1.1%,6,0.8%,5,0.7%,246,32.7%,477,63.4%,,0%,,,,,,,237,275,240,,,,,false,
Durham Elementary School – Tigard,Durham Elementary School,Tigard-Tualatin SD 23J,Northwest Regional ESD,,7980 SW Durham Rd,Tigard,OR,97224,Washington,503-431-4500,K,5,Elementary,Public,Regular School,1138,Principal,Rhett Boudreau,rboudreau@ttsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,585,530,272,51.3%,258,48.7%,4,0.8%,16,3%,21,4%,12,2.3%,144,27.2%,289,54.5%,44,8.3%,82,83,81,111,87,86,,,,,,,,false,
Eagle Charter School – Salem,Eagle Charter School,Oregon Department of Education,Oregon Department of Education,,999A Locust Ave NE,Salem,OR,97301,Marion,503-339-7114,K,5,Elementary,Public,Charter School,4850,Principal,John Trotta,jtrotta@eaglecharterschoolsalem.org,,,,,,,,,,,,,,,,,,,,,,,,,140,139,75,54%,64,46%,,0%,,0%,,0%,2,1.4%,15,10.8%,107,77%,15,10.8%,23,23,24,24,24,21,,,,,,,,false,
Eagle Point Middle School – Eagle Point,Eagle Point Middle School,Eagle Point SD 9,Southern Oregon ESD,,477 Reese Creek Rd,Eagle Point,OR,97524,Jackson,541-830-1250,6,8,Middle,Public,Regular School,396,Principal,Joni Parsons,parsonsj@eaglepnt.k12.or.us,,,No,,,,,,,,,,,,No,,,,SOMEWHAT interested,2017/2018 school year,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Outdoor School is a tremendous experience for so many kids!,,380,418,219,52.4%,199,47.6%,6,1.4%,1,0.2%,,0%,2,0.5%,53,12.7%,335,80.1%,21,5%,,,,,,,146,135,137,,,,,false,
Eagle Rock Elementary School – Eagle Point,Eagle Rock Elementary School,Eagle Point SD 9,Southern Oregon ESD,,1280 Barton Rd,Eagle Point,OR,97524,Jackson,541-830-6162,K,5,Elementary,Public,Regular School,4020,Principal,Harry Hedrick,hedrickh@eaglepnt.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,353,333,179,53.8%,154,46.2%,2,0.6%,2,0.6%,,0%,,0%,29,8.7%,283,85%,17,5.1%,51,57,51,57,49,68,,,,,,,,false,
Earl Boyles Elementary School – Portland,Earl Boyles Elementary School,David Douglas SD 40,Multnomah ESD,,10822 SE Bush,Portland,OR,97266,Multnomah,503-256-6554,PK,5,Elementary,Public,Regular School,3525,Principal,Ericka Guynes,ericka_guynes@ddouglas.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,433,480,243,50.6%,237,49.4%,2,0.4%,56,11.7%,11,2.3%,42,8.8%,156,32.5%,177,36.9%,36,7.5%,85,81,79,74,87,74,,,,,,,,false,
East Elementary School – Tillamook,East Elementary School,Tillamook SD 9,Northwest Regional ESD,,3905 Alder Ln,Tillamook,OR,97141,Tillamook,503-842-7544,4,6,Elementary,Public,Regular School,1012,Principal,JP  Richards,richardsj@tillamook.k12.or.us,Note 4,,Yes,174,6th grade,Twin Rocks Friends Conference,4,3,Tillamook County Outdoor School,"Yes, and it CONNECTS TO STATE STANDARDS",Our Directors,"High school mentors, Volunteer Staff that have a long standing or have been through the program",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,50,,,,,,,VERY FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,"ODS has been a long time standing tradition in our district. We are providing this service for Santiam in Mills City also (they attend with us). This upcoming year, we plan to extend our program to 4 nights 5 days again. We have been very thankful to have the support of the Gray's Family foundation, and hope that we will once again this year. Thank you for taking the time to learn about us. We would love to answer any questions you would have.",,488,511,259,50.7%,252,49.3%,9,1.8%,4,0.8%,3,0.6%,,0%,143,28%,338,66.1%,14,2.7%,,,,,162,176,173,,,,,,,true,
East Gresham Elementary School – Gresham,East Gresham Elementary School,Gresham-Barlow SD 10J,Multnomah ESD,,900 SE 5th St,Gresham,OR,97080,Multnomah,503-661-6050,K,5,Elementary,Public,Regular School,933,Principal,Kimberly Miles,miles16@gresham.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,426,390,213,54.6%,177,45.4%,1,0.3%,5,1.3%,4,1%,10,2.6%,182,46.7%,158,40.5%,30,7.7%,60,59,64,64,84,59,,,,,,,,false,
East Linn Christian Academy – Lebanon,East Linn Christian Academy,,,,36883 Victory Dr,Lebanon,OR,97355,Linn,541-259-2324,PK,12,Other,Private,Regular School,,,,elca@eastlinnchristian.org,,,Yes,22,6th grade,Longbow Organizational Campground,3,2,None,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",School staff develop the curriculum,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,25,,,,,,,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
East Orient Elementary School – Gresham,East Orient Elementary School,Gresham-Barlow SD 10J,Multnomah ESD,,7431 SE 302nd Ave,Gresham,OR,97080,Multnomah,503-663-4818,K,5,Elementary,Public,Regular School,941,Principal,James Milliken,milliken2@gresham.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,434,457,239,52.3%,218,47.7%,3,0.7%,12,2.6%,4,0.9%,4,0.9%,44,9.6%,354,77.5%,36,7.9%,67,82,70,74,79,85,,,,,,,,false,
Eastmont Community School – Bend,Eastmont Community School,,,,62425 Eagle Rd,Bend,OR,97701,Deschutes,541-382-2049,PK,5,Elementary,Private,Regular School,,,,office@eastmontschool.com,,,No,,,,,,,,,,,,No,,,,I'm not sure,Not sure at this point,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Eastwood Elementary School – Hillsboro,Eastwood Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,2100 NE Lincoln Street,Hillsboro,OR,97124,Washington,503-844-1725,K,6,Elementary,Public,Regular School,1115,Principal,Lindsay Garcia,garciali@hsd.k12.or.us,,,Yes,66,6th grade,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,506,480,239,49.8%,241,50.2%,1,0.2%,7,1.5%,3,0.6%,5,1%,296,61.7%,151,31.5%,17,3.5%,71,57,71,79,61,74,67,,,,,,,true,
Eastwood Elementary School – Roseburg,Eastwood Elementary School,Douglas County SD 4,Douglas ESD,,2550 SE Waldon Ave,Roseburg,OR,97470,Douglas,541-440-4181,K,5,Elementary,Public,Regular School,269,Principal,Nicki Opp,nopp@roseburg.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,458,440,225,51.1%,215,48.9%,5,1.1%,5,1.1%,1,0.2%,,0%,51,11.6%,352,80%,26,5.9%,75,58,71,76,77,83,,,,,,,,false,
Eccles Elementary School – Canby,Eccles Elementary School,Canby SD 86,,,562 NW 5th Ave,Canby,OR,97013,Clackamas,,K,6,Elementary,Public,Regular School,124,Principal,,mckeana@canby.k12.or.us,,,Yes,84,6th grade,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,485,494,231,46.8%,263,53.2%,1,0.2%,5,1%,2,0.4%,7,1.4%,100,20.2%,359,72.7%,20,4%,58,61,78,70,72,70,85,,,,,,,true,
Echo School – Echo,Echo School,Echo SD 5,InterMountain ESD,,600 E Gerone St,Echo,OR,97826,Umatilla,541-376-8436,PK,12,Other,Public,Regular School,3433,Principal,Raymon Smith,raymon.smith@echo.k12.or.us,,,Yes,26,6th grade,Tupper Workstation,5,4,,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,271,280,130,46.4%,150,53.6%,5,1.8%,,0%,,0%,2,0.7%,46,16.4%,222,79.3%,5,1.8%,23,26,14,26,20,25,25,17,17,15,20,30,22,true,
Echo Shaw Elementary School – Cornelius,Echo Shaw Elementary School,Forest Grove SD 15,Northwest Regional ESD,,914 S Linden St,Cornelius,OR,97113,Washington,503-359-2489,PK,6,Elementary,Public,Regular School,1130,Principal,Perla Rodriguez,prodriguez@fgsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,386,435,201,46.2%,234,53.8%,2,0.5%,,0%,2,0.5%,1,0.2%,402,92.4%,28,6.4%,,0%,55,66,77,70,56,59,52,,,,,,,false,
Eddyville Charter School – Eddyville,Eddyville Charter School,Lincoln County SD,Linn Benton Lincoln ESD,,1 Eddyville School Rd,Eddyville,OR,97343,Lincoln,541-875-2942,K,12,Other,Public,Charter School,3361,Superintendent/Principal,Jennifer Johnson,jennifer.johnson@lincoln.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,223,207,97,46.9%,110,53.1%,11,5.3%,,0%,,0%,,0%,21,10.1%,161,77.8%,14,6.8%,16,17,14,25,22,16,20,13,10,17,13,10,14,false,
