"","school","participation","district","esd","governance","ods.fifth.grade","ods.sixth.grade","number.of.students","camp.attended","days","nights","academic.component","accommodations","lon","lat"
"707","Whiteaker Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0112264,45.0072347
"708","Whitford Middle School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,200,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.7820955,45.4630927
"709","Whitworth Elementary School","Yes","Dallas SD 2","Willamette ESD","Public",1,0,210,"Camp Tapawingo","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.2977583,44.9172259
"710","Willamette Primary School","Yes","West Linn-Wilsonville SD 3J","Clackamas ESD","Public",1,0,77,"Jawbone Flats","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6527613,45.3430776
"711","Willamina Elementary School","No","Willamina SD 30J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.4746027,45.0854223
"712","William E Miller Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,100,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.3673479,44.0562223
"713","Williamette Valley Baptist School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.8643845,44.8458055
"714","Williams Elementary School","No","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.2736183,42.2190738
"715","Willowcreek Elementary School","Yes","Vale SD 84","Malheur ESD Region 14","Public",1,1,24,"McCall Outdoor Science School","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-117.36578,44.113196
"716","Wilson Elementary School","Yes","Corvallis SD 509J","Linn Benton Lincoln ESD","Public",1,0,60,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.256294,44.59557
"717","Winchester Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.350612,43.282875
"718","Windy River Elementary School","Yes","Morrow SD 1","InterMountain ESD","Public",0,1,NA,"Created own","4","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-119.7041134,45.8270249
"719","Winterhaven School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,58,"Camp Howard, Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6508899,45.4949818
"720","Witch Hazel Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,78,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9327127,45.4935965
"721","Woodburn Arthur Academy","No","Woodburn SD 103","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.849083,45.141212
"722","Woodland Charter School","No","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3327343,42.3315504
"723","Wright Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0476771,44.8964162
"724","WyEast Middle School","Yes","Hood River County SD","Columbia Gorge ESD","Public",0,1,100,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.557855,45.637868
"725","Yamhill Carlton Intermediate School","Yes","Yamhill Carlton SD 1","Willamette ESD","Public",0,1,83,"Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.185254,45.3419359
"726","Yolanda Elementary School","No","Springfield SD 19","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.9906326,44.0717326
"727","Yoshikai Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,87,"Camp Cascade Conference and Retreat Center","3","2",NA,NA,-122.9614453,44.9851695
"728","Zion Lutheran School","Yes","None",NA,"Private",0,1,8,"Camp Tadmor","5","4","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.2820972,44.5725105
"729","Valor Christian School","Yes","None",NA,"Private",0,1,13,"Twin Rocks Friends Conference","3","2",NA,NA,-122.8638396,45.4956928
"730","Holy Family Catholic School","Yes","None",NA,"Private",0,1,20,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6231,45.46949
"731","Access Academy","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,50,"Camp Angelos, Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6036,45.53947
"732","Park Academy","Yes","None",NA,"Private",0,1,7,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.682567,45.407473
"733","Bridges Middle School","Yes","None",NA,"Private",0,1,4,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.657271,45.601589
"734","St Francis Of Assisi School","Yes","None",NA,"Private",0,1,16,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.261138,44.075108
"735","Fossil Distance Learning","Yes","Fossil SD 21J","North Central ESD","Public",1,1,6,"Coastal Discovery Center at Camp Gray","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,NA,NA
"736","Oregon Home School","Yes","None",NA,"Private",1,1,14,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,NA,NA
"737","Micha-el School","Yes","None",NA,"Private",0,1,12,"Jawbone Flats","5","4","Yes, and it CONNECTS TO STATE STANDARDS",NA,NA,NA
"738","Renaissance School of Arts and Sciences","Yes","None",NA,"Private",0,1,4,"Jawbone Flats","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,NA,NA
"739","Paisley Distance Learning Program","Yes","Paisley SD 11","Lake ESD","Public",1,1,4,"Jawbone Flats","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,NA,NA
"740","High Desert Christian Academy","Yes","None",NA,"Private",0,1,7,"Camp Yamhill","4","3",NA,NA,NA,NA
"741","Spring Mountain Christian Academy","Yes","None",NA,"Private",0,1,10,"Camp Yamhill","4","3",NA,NA,NA,NA
"742","McMinnville Christian Academy","Yes","None",NA,"Private",0,1,7,"Camp Yamhill","4","3",NA,NA,NA,NA
"743","Santiam Christian School","Yes","None",NA,"Private",0,1,47,"Camp Yamhill","4","3",NA,NA,NA,NA
