Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Camp Tamarack,On Belay TY,Jefferson,www.camptamarack.com,Charlie Anderson,Director,charlie@camptamarack.com,541-633-9847,"30901 SW Forest Service Rd, Sisters, OR 97759","2608 NW Robert Way Bend, OR 97703",Yes,"Bend, Redmond, Culver, Madras","14 weeks/1,900 students",,"No, we are able to host additional schools",,,,,,,,Yes,www.camptamarack.com,"Common Core State Standards, Oregon Science Standards (Next Generation Science Standards)",,,Yes,Yes,We hope to hire a camp nurse starting this April,Yes,Yes,Yes,,27,90-100 campers,150,Yes,We can accomodate ALL dietary needs,No,,"Toilets, Showers, Dining hall, Campfire space(s)",we ajust as needed our field study locations,,,"All sleeping units, Dining hall","Portable chemical toilets, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,Teachers Cabin,,Campfire space(s),,"Access to water (lake, river, etc)",,Covered outdoor spaces,,,,,,,,18 field campsites only,"Culver Middle School – Culver, Highland School at Kenwood Elementary School – Bend, Silver Rail Elementary School – Bend, Tom McCall Elementary School – Redmond, Vern Patrick Elementary School – Redmond, Rosland Elementary School – La Pine, Terrebonne Community School – Terrebonne, Amity Creek Elementary School – Bend, Bear Creek Elementary School – Bend, Bend International School – Bend, Buckingham Elementary School – Bend, Elk Meadow Elementary School – Bend, High Lakes Elementary School – Bend, Juniper Elementary School – Bend, Ensworth Elementary School – Bend, La Pine Elementary School – LaPine, Lava Ridge Elementary School – Bend, M A Lynch Elementary School – Redmond, Pine Ridge Elementary School – Bend, Ponderosa Elementary School – Bend, R E Jewell Elementary School – Bend, Three Rivers Elementary School – Sunriver, William E Miller Elementary School – Bend, Tumalo Community School – Bend, Sisters Middle School – Sisters, Seven Peaks School – Bend, Sage Elementary School – Redmond, Warm Springs K-8 Academy – Warm Springs, Jefferson County Middle School – Madras, Redmond Proficiency Academy – Redmond",,-121.756129,44.408408,La Pine Middle School – LaPine
Da Kon Ya,OR Trail Council of Camp Fire USA,Umatilla,,,,cfusa@uci.net,541-276-6181,Da Kon Ya,,,,,,,,,,,,,,,,,"Archery, sports (GFF)",,,,,,,,,40 (GFF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appears to no longer exist. Cannot determine physical location in order to determine if another camp is active at the location.,,,,,,
Camp Baker,OR Trail Council of the Boy Scouts of America,Lane,http://www.otcbsa.org/baker/,,,hitower697@msn.com,541-485-4433,"5262 Boy Scout Rd Florence, OR 97439",,Yes,,,,,,,,,,,,,,,"archery and rifle range, sailing, COPE course challenges, nature study",,,,,,,,,,344,,yes,,,,"Campfire space(s),  3 or less of sleeping units",,,,,Showers in separate bathroom facility,,,,,,"climbing wall, forested areas",,,access to water,lake,,,,,,,,Campsites and cabins,,"South Baker Intermediate School – Baker City, Burnt River School – Unity",,-124.097516,43.894626,Burnt River School – Unity
Camp Melakwa,OR Trail Council of the Boy Scouts of America,Lane,http://www.otcbsa.org/melakwa/,,,,,Camp Melakwa,,,,,,,,,,,,,,,,,"archery, rifle, shotgun ranges, kayak, snorkel, canoe, fish",,,,,,,,,,232,,no,,,,,,,,,,,,,,,"climbing wall, trails",,,Access to water,lake,,,,,,,,"Campsites, no commercial kitchen",Sleeping units are not ADA accessible; short 20 dining seats; campfire spaces are not ADA accessible,,,-121.9097954,44.2010955,
Oregon 4-H Center,Oregon 4-H Foundation,Polk,oregon4hcenter.org,Elaine Laizure,Office Manager,elaine.laizure@oregonstate.edu,503-371-7920,"5390 4-H Rd. NW, Salem OR 97304","5390 4-H Rd. NW, Salem OR 97304",Yes,Northwest Regional ESD,"10-11 spring, 8-9 fall",,"Yes, we are at full capacity",,,No,,,,,No,,,,,Yes,No,No,Yes,Yes,Yes,Yes,325,224,200+,Yes,"vegetarian, gluten free, nut allergies, lactose",Yes,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Spring, Fall","NWRESD March-end of school, Sept-November, summer is not available",Yes,,"Forested areas, Meadowland, Trails",Campfire space(s),amphitheatre area,"Access to water (lake, pond, river, stream, etc.)","ponds, creek",Covered outdoor spaces,4 learning shelters,,,,,elaine.laizure@oregonstate.edu,,Campfire and field studies are not ADA accessible,,,,,
Aldersgate Camps and Retreats,Oregon Conference of Free Methodist Churches,Marion,www.aldersgateretreat.com,Eric Mueller,Camp Director,director@aldersgateretreat.com,503-743-2494,"7790 Marion Rd. SE, Turner, OR 97392","7790 Marion Rd. SE, Turner, OR 97392",Yes,"We have facilities available, but no programming. We currently do not have any outdoor schools using us, but have in the past.",,Yes,"No, we are able to host additional schools","NO, we could have hosted additional schools","Again, we don't do any outdoor school programming ourselves, but would be happy to host any groups wanting to utilize our grounds.

Thanks,
Eric Mueller 
503-743-2494",YES,,,,,No,,,"We have archery equipment, indoor gym, climbing wall, small pond, creek",Maybe - need more information,Yes,No,No,Yes,Yes,Yes,Yes,40,400,400,Yes,"We can work with all the above. Only in cases where someone has a very limited diet we ask them to bring some of their own food. We will cater to celiacs, however, because we are a commercial kitchen, we can not guarantee that there won't be cross-contamination.",No,Member Christian Camp and Conference Association,"3 or less of sleeping units, Toilets, Showers, Dining hall",Would need more information to determine,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",Summer has limited availability,Yes,Hotel Style,"Climbing wall, Forested areas, Meadowland, Trails",Campfire space(s),350,"Access to water (lake, pond, river, stream, etc.)","Small pond, mill creek borders our property",,,Other amenities/resources,"Indoor gym/game room, tree swing, disc golf course, soccer field","Aldersgate is a very nice facility that outdoor schools have enjoyed in the past. Good food, great staff, and good availability during mid-week. Nice mix of forest/meadow setting along a creek. Happy to give a tour at any time. We also have a nice mix of cabins along with nicer lodging that program/adult staff would really appreciate.",,director@aldersgateretreat.com,"They've now answered 3 different ways on whether they serve ODS! I think they are misinterpreting the question: answering ""yes"" that they had facilities available (""provided"") but that nobody took them up on it. Should clarify that their answer is actually ""no.""",Chalets + limited camping,,,-122.942394,44.8419589,
Big Lake Youth Camp,Oregon Conference of Seventh Day Adventist,Linn,biglake.org,Arthur Ordelheide,Associate Director/Educational Director,arthur@biglake.org,5419920194,"13100 HWY 20, Sisters, OR 97759","13100 HWY 20, Sisters, OR 97759",Yes,"Tillamook Adventist School, Lincoln City Adventist School, Rogue Valley Adventist School, Emerald Christian School, Three Sisters Adventist School, Rivergate Adventist School, Tualitin Valley Academy, McMinnville Adventist School, Livingston Adventist Academy","2 weeks, 130",,,,,,,,,,Yes,http://biglake.org/snow-school/,"Common Core State Standards, Not sure","winter outdoor school, physical science in the high mountains, wildlife in the alpine,",,"For the summer yes, could get it for the winter",No,Yes,Yes,Negotiable,No,Yes,20,200,250,Yes,"vegetarian, vegan, peanuts, tree nuts, dairy, gluten",Yes,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall",Would need more information to determine,,,"All sleeping units, Dining hall, Bathroom facilities","Portable chemical toilets, Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Fall",,Yes,Several Staff housing totaling around 40,"Climbing wall, Forested areas, Trails",,,"Access to water (lake, pond, river, stream, etc.)","Big Lake, a 250 acre alpine lake.",Covered outdoor spaces,"1 warming hut, 20 ' by 8'",,,"Students ride in and out during the winter with snow transport ( Snow Cat, or Snow mobile), We are in a sub alpine environment that shows great evidence of the beetle",,arthur@biglake.org,,Needs all sleeping units weatherized,"Lincoln City Seventh-Day Adventist School – Lincoln City, Rogue Valley Adventist School – Medford, Rivergate SDA School – Gladstone, Grants Pass Seventh-Day Adventist School – Grants Pass",,-121.8654686,44.3714204,Shoreline Christian School – Florence
Wallowa Lake Camp,Oregon Idaho Annual Conference of the United Methodist Church,Wallowa,gocamping.org,Peggy Lovegren,Director,wallowalakecamp@gmail.com,5414321271,"84522 CHURCH LN Joseph, OR",84522 CHURCH LN,No,,,,,,,No,,,Maybe - need more information,,No,,,,Maybe - need more information,Yes,No,No,Yes,Yes,Yes,Yes,65,100+,100+,Yes,gluten free & vegetarian,No,not ACA yet,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Spring, Summer, Fall",only summer times available would be early June or late August,Yes,we have15 beautiful cabins as well as 8 rustic rooms,"Forested areas, Meadowland, Trails",Campfire space(s),100+?,"Access to water (lake, pond, river, stream, etc.)","lake within one mile, river-front",Covered outdoor spaces,"patio outside lodge, 30 people?",Other amenities/resources,"basketball, volleyball, gaga ball, horse shoes, ping pong, swings, river-front, big field,","We are not ACA yet because we host a lot of adult groups but all of our other camps are ACA so we could decide to become ACA...we do follow the same safety standards.  This camp is walking distance to horseback riding, a mountain tram, miniature golf, go-karts, and the beautiful Wallowa Lake.  Hiking trails are within walking distance and the Zumwalt Prairie is driving distance.",,,Does not have 4 ADA accessible sleeping units,"""Toilets, showers and sleeping units are not ADA accessible""","Maupin Elementary School – Maupin, Prairie City School – Prairie City",,-117.2140981,45.2755949,
Kellogg Springs Camp & Conference Center,Oregon Pacific District Church of the Nazarene,Douglas,KelloggSprings.com,Bill McClendon,Guest Relations Director,KelloggSpringsCamp@gmail.com,541-459-1511,"Hwy 138, Mile Marker 9","1111  Kellogg Camp Lane,  Oakland  OR  97462",No,,,no,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,"Clarification...  We have the facilities, but we did not have any schools take advantage of them.",No,,,Yes,,No,,,"Archery, SlingShots, Basketball, Volleyball, Activity Room with Foos Ball, Ping Pong, Air Hockey, Outdoor Game Court with GaGa Ball, Carpet Ball, Poly Pong, Playground with Swings, Climbing, etc, Activity Field for tug of war, messy games, etc, 900' Zipline from 30' platform ($3/ride)",Maybe - need more information,Maybe - need more information,Yes,No,Yes,Yes,Yes,Yes,"160, with about half in unused dense forest and undergrowth",200,"180 indoors, additional outdoors",Yes,"Substitutes for gluten, dairy, nuts, sugar, vegetarian, but we need details two weeks in advance",No,Christian Camp & Conference Association,"3 or less of sleeping units, Toilets, Showers, Dining hall, Only one sleeping unit, the Nurse's Station",Would need more information to determine,Would need more information to determine,Depends on where you go and what you do,"All sleeping units, Dining hall, Bathroom facilities, Chapel (seats 250), Gym, Activity Room","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",About half of the beds are in rooms with bath-showers and most of those rooms have two sinks in the main part of the room.  The other half are in rooms that sleep 10 and use a large bath house,"Winter, Spring, Fall",Check the calendar on our website.,Yes,"Ashland has 5 rooms that can sleep 7,7,7,5,3.  Staff House has 8 rooms that sleep 3, but some may be needed for our additional staff depending on the size & needs of the group coming","Forested areas, Meadowland, Trails",Campfire space(s),One permanent camp fire ring is next to an amphitheater that seats about 200.  A portable fire ring is for open areas without seating,"Access to water (lake, pond, river, stream, etc.)",The Umpqua River is across the street with a large parking area about 2 miles from Camp,Covered outdoor spaces,one that has 4 standard size picnic tables.  We are anticipating covering the back deck of the Dining Hall which would have about 5 tables,,,"We are 15 miles NW of Sutherlin, 9 miles SE of Elkton, so it feels like we are in a ""wilderness.""   Forest is mostly Douglas Fir with some mixed hardwoods.  Most forest undergrowth is dense blackberries and related stuff but there are some areas that are mostly ferns.  Open fields merge with forests.  Good variety of ecosystems.  On a dark, clear night the Milky Way is awesome!  Wildlife... Everyday: deer, birds,  Often: more birds (owls at night),   Occasionally: bald eagles, osprey, squirrels,   Rarely: bobcat, cougar, bear, opossum, skunk.  A couple of places have nice views of the Umpqua River valley.","Sorry, I've been to one other, Camp Harlow in Eugene, but have no idea if they are interested.   Could I please get a copy of this completed survey?",already getting them  :-),Sleeping units are not ADA accessible; short 20 dining seats; campfire spaces are not ADA accessible,,,,-83.42264,39.319323,
The Evangelical Center,Pacific Council of the Evangelical Church,Clackamas,theevangelicalcenter.org,Paul Estupinian,,paul@theevangelicalcenter.org,5036595622 ext 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed,Sleeping units and toilets are not ADA accessible; short 32 dining seats; no sleeping units are weatherized,,,,,
Camp Myrtlewood,Pacific Northwest District of the Church of the Brethren,Coos,www.campmyrtlewood.org,Trina McDaniel,Camp Manager,manager@campmyrtlewood.org,(541) 572-5307,"49658 Myrtle Creek Rd, Myrtle Point, OR 97458","49658 Myrtle Creek Rd, Myrtle Point, OR 97458",Yes,"Coquille Valley Middle, Myrtle Crest Elementary, McGovern Elementary, Winchester Elementary","Each school comes for two days. In 2015, we served 251 students and teachers. I do not have number of just students.",,"No, we are able to host additional schools",,,,,,,,No,,,,No,Yes,Negotiable,No,Yes,Yes,Yes,Yes,160,120,120,Yes,We can accommodate pretty much any dietary restriction.,No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,"Dining hall, Bathroom facilities, All sleeping units have heat, but not insulation","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Summer, Fall",,Yes,,"Forested areas, Meadowland, Trails",Campfire space(s),1 campfire space that seats around 50 or more.,"Access to water (lake, pond, river, stream, etc.)",Creek with swimming hole,,,,,,,Trina McDaniel & Sol Weil: manager@campmyrtlewood.org,,"""Dorms, private rooms, camping""","Coquille Valley Elementary School – Coquille, McGovern Elementary School – Winston",,-124.0003062,42.9945903,
